客户编码,R,F,M,labels
S15361,16,48,6604056.0,0
S15407,52,23,3764839.0,1
S15410,27,29,4093034.0,1
S15411,26,27,3366864.0,1
S15417,8,32,3821227.0,1
S15439,20,28,4311148.0,1
S15443,40,20,2652965.0,1
S15466,14,61,9660874.0,0
S15489,18,50,6043588.0,0
S15501,9,61,8328827.0,0
S15515,17,45,5691964.0,0
S15522,118,10,1253375.0,2
S15527,25,26,3391186.0,1
S15535,0,46,7788376.0,0
S15549,21,24,3247453.0,1
S15553,75,8,1260715.0,2
S15563,130,27,4004540.0,2
S15591,38,52,7995151.0,0
S15592,68,13,1690453.0,2
S15600,44,35,5720406.0,0
S15604,4,47,6565373.0,0
S15608,22,23,3021955.0,1
S15631,17,42,6766829.0,0
S15632,5,49,7351881.0,0
S15638,1,39,6603991.0,0
S15639,38,23,2960483.0,1
S15642,18,59,11042893.0,0
S15649,30,25,3400994.0,1
S15702,4,7,781489.0,1
S15707,39,19,2408889.0,1
S15710,32,28,3980239.0,1
S15715,13,16,2594902.0,1
S15731,68,13,1506967.0,2
S15732,5,33,4979586.0,0
S15762,3,24,3391195.0,1
S15789,17,13,2087486.0,1
S15803,32,57,8342016.0,0
S15840,37,17,2353717.0,1
S15852,4,62,8342069.0,0
S15863,16,34,6456952.0,0
S15865,43,39,4148655.0,1
S15878,29,58,9636076.0,0
S15879,31,14,1481951.0,1
S15889,7,21,2342571.0,1
S15901,27,22,3077702.0,1
S15908,9,46,6741587.0,0
S15910,54,34,2929921.0,1
S15935,69,4,363336.0,2
S15944,46,8,1352494.0,1
S15958,20,5,993346.0,1
S15966,50,40,6504352.0,0
S15969,6,50,7277340.0,0
S16055,21,28,3887254.0,1
S16068,26,15,2440517.0,1
S16071,35,30,4051221.0,1
S16106,16,23,3045827.0,1
S16115,93,10,1530459.0,2
S16124,10,31,4247107.0,1
S16129,15,20,3086513.0,1
S16130,6,35,5851236.0,0
S16143,55,10,1701700.0,2
S16149,3,34,4063713.0,1
S16157,153,12,976539.0,2
S16170,8,25,2733842.0,1
S16184,12,44,5654029.0,0
S16189,69,21,3267044.0,2
S16197,43,13,2173833.0,1
S16233,29,15,1686949.0,1
S16237,22,45,6809643.0,0
S16243,90,13,1424709.0,2
S16244,28,15,2463478.0,1
S16281,3,38,6739395.0,0
S16284,61,17,2582852.0,2
S16286,19,48,5251358.0,0
S16292,8,30,5288440.0,0
S16308,30,20,2900696.0,1
S16310,9,32,4390047.0,1
S16312,43,25,2994321.0,1
S16318,75,13,2091204.0,2
S16319,6,11,2034837.0,1
S16330,3,52,7120602.0,0
S16365,15,59,9199483.0,0
S16388,26,11,1152527.0,1
S16400,10,9,1276802.0,1
S16423,8,22,2750259.0,1
S16440,48,25,3808238.0,1
S16465,3,19,2099014.0,1
S16477,1,15,2418278.0,1
S16478,7,54,8469909.0,0
S16488,8,44,6463271.0,0
S16489,5,26,3189943.0,1
S16493,6,33,4580148.0,1
S16503,176,14,1682893.0,2
S16507,37,33,4436366.0,1
S16510,40,51,6210533.0,0
S16548,18,30,4318940.0,1
S16573,4,54,7226044.0,0
S16577,45,12,2392618.0,1
S16592,35,17,2361909.0,1
S16596,94,10,1394971.0,2
S16628,16,20,3407107.0,1
S16637,37,40,5374000.0,0
S16639,9,38,5085503.0,0
S16649,40,34,4916254.0,1
S16650,32,41,6432031.0,0
S16659,71,7,975371.0,2
S16669,79,32,5129814.0,2
S16672,8,19,2933108.0,1
S16703,12,34,4987650.0,0
S16709,1,30,4349329.0,1
S16748,22,39,4679550.0,0
S16775,62,37,5318102.0,0
S16804,78,22,2910915.0,2
S16806,31,36,5424679.0,0
S16825,7,22,2831877.0,1
S16830,115,8,1191382.0,2
S16843,21,30,3984800.0,1
S16848,84,14,2064727.0,2
S16856,10,35,3691769.0,1
S16884,41,22,2695314.0,1
S16891,39,9,1024284.0,1
S16910,28,20,3254187.0,1
S16915,6,36,5408973.0,0
S16924,1,10,832400.0,1
S16925,5,26,3080074.0,1
S16940,23,25,3391617.0,1
S16943,4,44,5550718.0,0
S16975,57,14,2187647.0,2
S17015,8,20,2426165.0,1
S17016,35,30,4547768.0,1
S17021,4,53,7496321.0,0
S17028,7,38,5295024.0,0
S17044,31,36,4899829.0,0
S17046,8,51,6843667.0,0
S17057,3,30,5511765.0,0
S17063,51,26,2992746.0,1
S17070,1,29,4531125.0,1
S17072,1,53,6695374.0,0
S17092,99,13,1558712.0,2
S17095,51,21,2405033.0,1
S17133,0,31,5279033.0,0
S17136,13,15,1839289.0,1
S17140,10,32,5168738.0,0
S17150,40,30,4332993.0,1
S17159,4,19,2448755.0,1
S17166,0,17,3627037.0,1
S17168,81,16,2402007.0,2
S17175,24,20,2790973.0,1
S17181,38,30,3185800.0,1
S17191,4,22,2941483.0,1
S17197,39,19,3238764.0,1
S17198,44,11,1360360.0,1
S17207,22,16,2264023.0,1
S17229,6,41,5391419.0,0
S17236,37,23,2842221.0,1
S17243,8,29,4287825.0,1
S17255,36,12,2185354.0,1
S17261,1,40,6377445.0,0
S17269,55,11,1981109.0,2
S17272,45,55,7009160.0,0
S17280,113,11,1446407.0,2
S17292,5,18,3183377.0,1
S17309,32,20,2238131.0,1
